MEAN_LIVE_CORAL,LIVE_CORAL_LAG1,DEAD_CORAL_LAG1,COTS_LAG1,CORAL_TRAJECTORY,YEAR_GAP,DHW_MAX,DHW_MAX_PREV,SSTA_MAX,SSTA_MAX_PREV,LATITUDE,LONGITUDE,SHELF_M,SHELF_O,REEF_ID,REEF_NAME,REPORT_YEAR,SECTOR
11.319,5.625,0.729,0.083,2.78,1.0,6.8100000000000005,6.18,1.87,1.83,-11.0275,143.251,1,0,11016S,MCSWEENEY REEF,2022,CG
13.654,11.319,1.25,0.194,5.694000000000001,1.0,0.78,6.8100000000000005,2.07,1.87,-11.0275,143.251,1,0,11016S,MCSWEENEY REEF,2023,CG
17.25,7.054,0.357,0.0,-0.13399999999999945,1.0,6.55,5.87,1.9,1.85,-11.133333,143.258333,1,0,11029S,MONSOON REEF,2022,CG
21.05,17.25,1.583,0.2,10.196,1.0,0.77,6.55,2.11,1.9,-11.133333,143.258333,1,0,11029S,MONSOON REEF,2023,CG
7.568,3.106,0.379,0.0,-1.016,1.0,5.49,10.27,1.85,1.82,-11.358333,143.333333,1,0,11049S,11049S,2021,CG
19.695,7.568,0.946,0.324,4.462,1.0,5.8100000000000005,5.49,1.91,1.85,-11.358333,143.333333,1,0,11049S,11049S,2022,CG
18.672,19.695,1.829,0.78,12.127,1.0,1.03,5.8100000000000005,2.25,1.91,-11.358333,143.333333,1,0,11049S,11049S,2023,CG
29.194,17.429,0.143,0.0,8.549999999999999,1.0,5.54,4.22,1.88,1.84,-11.6,143.291667,1,0,11162S,11162S,2022,CG
22.083,29.194,0.565,0.065,11.765,1.0,0.62,5.54,2.29,1.88,-11.6,143.291667,1,0,11162S,11162S,2023,CG
52.961,57.167,2.5,0.0,12.693000000000005,3.0,0.0,1.3,1.36,2.0,-11.908333,143.466667,1,0,11184C1,SIR CHARLES HARDY ISLANDS (1),2005,CG
52.059,44.028,2.5,0.0,-17.288000000000004,3.0,0.0,1.3,1.36,2.0,-11.908333,143.466667,1,0,11184C2,SIR CHARLES HARDY ISLANDS (2),2005,CG
10.068,11.97,21.212,0.273,-16.208999999999996,3.0,9.7,2.3000000000000003,1.95,1.74,-11.566667,143.716667,1,0,11211S,PEARSON REEF,2020,CG
18.71,10.068,0.743,0.0,-1.902000000000001,1.0,5.16,9.7,1.59,1.95,-11.566667,143.716667,1,0,11211S,PEARSON REEF,2021,CG
31.836,18.71,0.726,0.0,8.642000000000001,1.0,6.16,5.16,1.89,1.59,-11.566667,143.716667,1,0,11211S,PEARSON REEF,2022,CG
20.286,31.836,1.719,0.0,13.125999999999998,1.0,1.26,6.16,2.29,1.89,-11.566667,143.716667,1,0,11211S,PEARSON REEF,2023,CG
34.375,52.125,16.25,0.0,-11.375,2.0,1.91,1.14,1.42,1.8,-11.763333,143.651667,1,0,11222S2,MIDDLE BANKS (2),2019,CG
49.125,34.375,2.5,0.0,-17.75,1.0,9.68,1.91,1.86,1.42,-11.763333,143.651667,1,0,11222S2,MIDDLE BANKS (2),2020,CG
31.375,49.125,1.75,0.0,14.75,1.0,4.3100000000000005,9.68,1.58,1.86,-11.763333,143.651667,1,0,11222S2,MIDDLE BANKS (2),2021,CG
77.083,31.375,0.25,0.0,-17.75,1.0,5.67,4.3100000000000005,2.03,1.58,-11.763333,143.651667,1,0,11222S2,MIDDLE BANKS (2),2022,CG
