REEF_ID,YEAR,DHW_MAX,SSTA_MAX
16028S,1993,0.0,0.88
16049S,1993,0.0,1.36
16054S,1993,0.0,1.45
15093S,1993,0.0,0.9400000000000001
15095S,1993,0.0,0.98
15098S,1993,0.0,0.99
16013A,1993,0.0,1.0
16013B,1993,0.0,0.96
16013C,1993,0.0,0.96
16015S,1993,0.0,0.99
16017S,1993,0.0,1.01
16020A,1993,0.0,0.98
16023S,1993,0.0,0.87
16024S,1993,0.0,0.9500000000000001
16026S2,1993,0.0,1.05
16032S,1993,0.0,1.02
16040S,1993,0.0,1.05
16043A,1993,0.0,1.1400000000000001
16044B,1993,0.0,1.1400000000000001
16046S,1993,0.0,1.2
16057S,1993,0.0,0.98
16060S,1993,0.0,1.03
16064S,1993,0.0,1.27
16068S,1993,0.0,1.18
15088S,1993,0.0,0.78
15090S,1993,0.0,0.79
15092S,1993,0.0,0.8300000000000001
15094S1,1993,0.0,0.91
15096S,1993,0.0,0.91
15099A,1993,0.0,0.9400000000000001
15099C,1993,0.0,0.9
16019S,1993,0.0,0.9
16025S2,1993,0.0,1.0
16030S,1993,0.0,1.02
16058S,1993,0.0,0.96
16063S,1993,0.0,1.17
16065S,1993,0.0,1.16
23045A,1993,0.0,0.77
23048S,1993,0.0,0.6900000000000001
23051S,1993,0.0,0.6900000000000001
23055S,1993,0.0,0.84
23068S,1993,0.0,0.65
23069S,1993,0.0,0.7000000000000001
23077S,1993,0.0,0.77
23079S,1993,0.0,0.61
23080S,1993,0.0,0.58
23081S,1993,0.0,0.6900000000000001
23082S,1993,0.0,0.72
11167S,1993,0.0,0.91
12010S,1993,0.0,0.68
12102S,1993,0.0,0.53
11016S,1993,0.0,1.19
11029S,1993,0.0,1.1400000000000001
11049S,1993,0.0,1.03
11162S,1993,0.0,0.9
11184C1,1993,0.0,0.68
11184C2,1993,0.0,0.68
11211S,1993,0.0,0.96
11222S2,1993,0.0,0.92
11222S3,1993,0.0,0.92
11237A,1993,0.0,0.74
11237B,1993,0.0,0.87
11237C,1993,0.0,0.75
12016B,1993,0.0,0.62
12027B,1993,0.0,0.49
11243S,1993,0.0,0.87
12056S,1993,0.0,0.55
12061S,1993,0.0,0.52
12071S,1993,0.0,0.56
12098S,1993,0.0,0.55
12107S,1993,0.0,0.5700000000000001
14094S,1993,0.0,1.21
14097S,1993,0.0,1.21
14120B,1993,0.0,1.0
14123S,1993,0.0,1.11
14126S,1993,0.0,1.08
15002S,1993,0.0,0.89
15005S,1993,0.0,0.8
15012S,1993,0.0,0.76
15013S,1993,0.0,0.76
14054S,1993,0.0,1.21
14056S,1993,0.0,1.08
14061S,1993,0.0,1.25
14064S,1993,0.0,1.29
14109S,1993,0.0,0.93
14114S,1993,0.0,0.97
14115S,1993,0.0,0.99
14116S,1993,0.0,1.04
14118S,1993,0.0,1.07
14133S,1993,0.0,1.06
14134S,1993,0.0,1.1500000000000001
14135S,1993,0.0,1.06
14143S,1993,0.0,1.09
14147A,1993,0.0,1.17
15009S,1993,0.0,0.97
15018S,1993,0.0,0.98
15019S,1993,0.0,1.08
15022S,1993,0.0,1.1500000000000001
15024S,1993,0.0,1.08
15027S,1993,0.0,1.12
15028S2,1993,0.0,1.0
15030S,1993,0.0,0.93
15047S,1993,0.0,0.8300000000000001
15054S,1993,0.0,0.78
15077S,1993,0.0,0.77
15081S,1993,0.0,0.79
15084S,1993,0.0,0.81
15089S,1993,0.0,0.89
14075S,1993,0.0,0.7000000000000001
14085S,1993,0.0,0.76
14137S,1993,0.0,0.98
14138S,1993,0.0,1.02
14139S,1993,0.0,1.02
14152S,1993,0.0,1.03
14154S,1993,0.0,1.1
15023S,1993,0.0,1.17
15025S,1993,0.0,1.17
15032S,1993,0.0,1.02
15034S,1993,0.0,1.01
15037S,1993,0.0,1.01
15050S,1993,0.0,1.06
15080S,1993,0.0,0.9500000000000001
15085S,1993,0.0,0.9500000000000001
19103S,1993,0.51,1.75
18118S,1993,0.0,1.5
19019S,1993,0.0,1.62
19028S,1993,0.0,1.45
19044S,1993,0.17,1.54
19045S,1993,0.18,1.6500000000000001
19046S,1993,0.17,1.56
19047S,1993,0.49,1.71
19063A,1993,0.16,1.44
19063B,1993,0.17,1.49
19076S,1993,0.17,1.49
19082S,1993,0.0,0.9500000000000001
19098S,1993,0.0,0.88
18112S,1993,0.0,1.3900000000000001
18120S,1993,0.0,1.33
19061S,1993,0.15,1.35
17012A,1993,0.0,1.29
17043A,1993,0.0,1.29
17043C,1993,0.0,1.29
16067S,1993,0.0,1.1500000000000001
16071S,1993,0.0,1.11
17004S,1993,0.0,1.25
17010S,1993,0.15,1.42
17011S,1993,0.14,1.4000000000000001
17016S,1993,0.0,1.33
17024S,1993,0.0,1.21
17034S,1993,0.0,1.18
17044S,1993,0.0,1.34
17051S,1993,0.0,1.31
17063A,1993,0.0,1.17
17064S,1993,0.0,1.17
17008S,1993,0.0,1.19
17014S,1993,0.0,1.26
17032S,1993,0.0,1.1300000000000001
17057S,1993,0.0,1.0
17059A,1993,0.0,1.03
17068S,1993,0.0,1.46
13006S,1993,0.0,0.96
13081S,1993,0.0,0.9400000000000001
13107S,1993,0.0,0.92
14017S,1993,0.0,0.99
13041S,1993,0.0,0.78
13060S,1993,0.0,0.62
13063S,1993,0.0,0.5700000000000001
13072S,1993,0.0,0.68
13076S,1993,0.0,0.67
13087S,1993,0.0,0.85
13093A,1993,0.0,0.6
13108S,1993,0.0,0.78
13124S,1993,0.0,0.6900000000000001
14003S,1993,0.0,0.9
14016S,1993,0.0,0.85
13040S,1993,0.0,0.62
13056S,1993,0.0,0.56
13118A,1993,0.0,0.55
13121S,1993,0.0,0.65
13127S,1993,0.0,0.78
13130S,1993,0.0,0.9400000000000001
13133S,1993,0.0,0.9400000000000001
14045S,1993,0.0,0.76
21031S,1993,0.0,1.23
21039S,1993,0.0,1.24
21308S,1993,0.0,1.33
21334S,1993,0.0,1.1500000000000001
21340S,1993,0.0,1.37
21386S,1993,0.0,1.02
19219S,1993,0.0,0.58
20112S,1993,0.0,0.77
20144S,1993,0.0,0.53
20145S,1993,0.0,0.55
20287S,1993,0.0,0.66
20297S,1993,0.0,0.59
20299D,1993,0.0,0.85
20309S,1993,0.0,0.89
20348S,1993,0.0,0.77
20351A,1993,0.0,0.78
20351B,1993,0.0,0.74
20353S,1993,0.0,0.71
20354S,1993,0.0,0.71
21025S,1993,0.0,1.1400000000000001
21060S,1993,0.0,0.77
21062S,1993,0.0,0.75
21064S,1993,0.0,0.78
21074S,1993,0.0,0.8200000000000001
21104S,1993,0.0,0.8
21137S,1993,0.0,0.71
21139S,1993,0.0,0.73
21140S,1993,0.0,0.86
21187S,1993,0.0,0.8
21591S,1993,0.0,0.81
20113S,1993,0.0,0.6
21179S,1993,0.0,0.77
21186S,1993,0.0,0.81
21217S,1993,0.0,0.35000000000000003
21219S,1993,0.0,0.32
21235S,1993,0.0,0.43
21241S,1993,0.0,0.45
21245S,1993,0.0,0.45
21278S,1993,0.0,0.33
21286S,1993,0.0,0.42
21450S,1993,0.0,0.88
21467S,1993,0.0,0.62
21497S,1993,0.0,0.65
21501S,1993,0.0,0.56
21511S,1993,0.0,0.55
21529S,1993,0.0,0.67
21550S,1993,0.0,0.5
21556S,1993,0.0,0.5
21557S1,1993,0.0,0.5
21572S,1993,0.0,0.4
21577S,1993,0.0,0.47000000000000003
21584S,1993,0.0,0.5700000000000001
21588S,1993,0.0,0.5700000000000001
22084S,1993,0.0,0.5
22088S,1993,0.0,0.56
22102S,1993,0.0,0.61
22104S,1993,0.0,0.63
22112S,1993,0.0,0.6900000000000001
22118S,1993,0.0,0.73
22144S,1993,0.0,0.8
21296S,1993,0.0,0.44
21302S,1993,0.0,0.45
21305S,1993,0.0,0.44
21558S,1993,0.0,0.45
21562S,1993,0.0,0.5
21583S,1993,0.0,0.51
18053S,1993,0.0,1.78
18065S,1993,0.17,2.1
18025S,1993,0.0,1.33
18026S,1993,0.0,1.55
18029S,1993,0.0,1.54
18030S,1993,0.0,1.33
18031S,1993,0.0,1.35
18032S,1993,0.0,1.4000000000000001
18042S,1993,0.0,1.32
18043S,1993,0.0,1.35
18073S,1993,0.0,1.5
18074S,1993,0.0,1.49
18075S,1993,0.0,1.37
18076S,1993,0.0,1.67
18077S,1993,0.14,1.62
18078S,1993,0.0,1.53
18079S,1993,0.14,1.77
18088S,1993,0.15,1.6600000000000001
18091S,1993,0.0,1.61
18095S,1993,0.0,1.6600000000000001
18096S,1993,0.0,1.62
18099S,1993,0.0,1.59
18106S,1993,0.0,1.6600000000000001
18023S,1993,0.0,1.27
18034S,1993,0.0,1.09
18037S,1993,0.0,1.26
18039S,1993,0.0,1.21
18041S,1993,0.0,1.24
18046S,1993,0.0,1.21
18081S,1993,0.0,1.47
18083S,1993,0.0,1.56
18086S,1993,0.0,1.56
20014S,1993,0.16,1.45
20019S,1993,0.16,1.45
20067A,1993,0.0,1.06
19120S,1993,0.0,0.71
19131S,1993,0.0,0.71
19135S,1993,0.0,0.86
19137S,1993,0.0,0.96
19138S,1993,0.0,0.7000000000000001
19147S,1993,0.0,0.6
19177S,1993,0.0,0.43
19195S,1993,0.0,0.52
20104S,1993,0.0,0.76
19159S,1993,0.0,0.41000000000000003
19207S,1993,0.0,0.43
19209S,1993,0.0,0.49
16028S,1994,2.4,2.15
16049S,1994,2.2600000000000002,1.82
16054S,1994,2.2800000000000002,1.95
15093S,1994,2.15,2.05
15095S,1994,2.7600000000000002,2.22
15098S,1994,2.75,2.21
16013A,1994,3.08,2.37
16013B,1994,3.39,2.49
16013C,1994,3.39,2.49
16015S,1994,2.77,2.09
16017S,1994,2.91,2.22
16020A,1994,2.7600000000000002,2.1
16023S,1994,2.7,2.0300000000000002
16024S,1994,2.97,2.13
16026S2,1994,2.43,1.97
16032S,1994,2.89,2.0100000000000002
16040S,1994,2.42,1.78
16043A,1994,2.5,1.76
16044B,1994,2.72,1.96
16046S,1994,2.5100000000000002,1.8
16057S,1994,2.93,2.05
16060S,1994,2.74,2.0100000000000002
16064S,1994,2.86,2.0
16068S,1994,2.68,2.08
15088S,1994,3.37,2.31
15090S,1994,3.5300000000000002,2.45
15092S,1994,3.58,2.5100000000000002
15094S1,1994,3.41,2.43
15096S,1994,3.44,2.58
15099A,1994,3.42,2.5500000000000003
15099C,1994,3.41,2.59
16019S,1994,3.15,2.32
16025S2,1994,3.08,2.17
16030S,1994,3.21,2.18
16058S,1994,3.0500000000000003,2.19
16063S,1994,3.0700000000000003,2.25
16065S,1994,3.06,2.22
23045A,1994,0.0,1.12
23048S,1994,0.0,1.24
23051S,1994,0.0,1.29
23055S,1994,0.0,1.22
23068S,1994,0.5,1.6
