cluster_id,n_records,n_unique_coords,lat_centroid,lon_centroid,lat_min,lat_max,lon_min,lon_max,year_min,year_max
39,243,52,-16.124179423868313,145.83455802469135,-16.3248,-15.7921,145.5741,145.8881,1997,2017
0,209,40,-19.166712918660288,146.8486263157895,-19.2167,-19.1142,146.758,146.8824,1998,2017
3,187,28,-23.443886631016042,151.9213385026738,-23.5004,-23.4334,151.8803,152.09,1997,2017
1,149,53,-18.646925503355707,146.54512953020136,-18.8445,-18.5463,146.43,146.6929,1997,2013
38,108,29,-16.523469444444444,145.99037037037036,-16.769,-16.4208,145.939,146.0509,1998,2017
12,103,66,-20.23743495145631,148.9795058252427,-20.8159,-20.039,148.8748,149.2819,1992,2016
36,88,27,-16.871352272727272,146.2115727272727,-17.0748,-16.691,146.1794,146.2726,1997,2017
6,69,23,-19.76047536231884,149.15017391304346,-19.818,-19.68,149.0,149.2332,1998,2017
5,60,46,-23.146168333333332,150.9572816666667,-23.22,-23.0,150.876,151.1019,1997,2011
70,47,9,-16.37956170212766,145.56004468085106,-16.39,-16.3769,145.5578,145.57,1997,2017
128,41,6,-13.84450487804878,146.55129024390243,-13.8883,-13.8007,146.5235,146.5572,1997,2008
117,38,7,-14.925742105263156,145.68793421052632,-15.075,-14.9156,145.6754,145.7221,1998,2008
113,34,8,-18.791526470588234,147.52235588235294,-18.7984,-18.7249,147.52,147.5403,1998,2017
76,28,12,-19.545289285714286,149.2621642857143,-19.5717,-19.4657,149.048,149.3981,1998,2011
15,23,22,-20.090439130434785,148.5869,-20.2,-19.9956,148.466,148.7145,1998,2002
14,23,10,-20.25195652173913,148.81541304347826,-20.2613,-20.2179,148.8087,148.8417,1998,2017
130,20,5,-15.513990000000002,145.77755,-15.5278,-15.5114,145.7769,145.7788,2002,2008
103,19,9,-14.610957894736842,145.62404736842106,-14.6644,-14.4448,145.4104,145.6907,1998,2003
91,18,8,-18.82148888888889,147.65488888888888,-18.9103,-18.7747,147.6273,147.745,1998,2008
116,18,6,-15.359505555555554,145.77909444444444,-15.3984,-15.2589,145.7632,145.8244,1999,2008
43,16,16,-14.72874375,145.10814375,-14.8162,-14.6143,144.9353,145.2039,1998,2002
77,15,9,-18.665953333333334,147.07942,-18.6973,-18.6236,147.025,147.1092,1997,2017
78,15,8,-18.44104666666667,146.99043333333336,-18.4667,-18.43,146.9833,146.9933,1997,2008
127,15,1,-18.9561,146.9562,-18.9561,-18.9561,146.9562,146.9562,2004,2016
94,14,6,-24.112192857142855,152.71562857142857,-24.114,-24.1094,152.7106,152.7197,1998,2013
41,13,13,-15.499776923076922,145.51017692307693,-15.6085,-15.4127,145.3282,145.6554,1998,2002
37,13,8,-16.93550769230769,145.98845384615385,-17.0,-16.8982,145.9565,146.0032,1998,2017
16,12,12,-20.022483333333334,148.28568333333334,-20.1007,-19.967,148.266,148.3583,1998,2002
64,12,12,-18.0518,146.78749166666668,-18.1238,-17.9458,146.7623,146.8392,1998,2002
9,12,6,-18.739391666666666,147.27090833333332,-18.7502,-18.7333,147.2667,147.2722,1998,2006
8,11,11,-19.020872727272728,146.6052,-19.0996,-18.9638,146.5601,146.6309,1998,2002
72,11,11,-15.156472727272728,145.4603636363636,-15.3594,-15.0233,145.2671,145.586,1998,2002
84,11,11,-21.106472727272727,152.2254,-21.2015,-21.0516,152.0985,152.354,2002,2002
80,11,10,-18.40212727272727,146.79950909090908,-18.4804,-18.3228,146.7,146.88,1998,2006
23,11,9,-20.911618181818184,149.42245454545454,-20.9338,-20.8931,149.3903,149.4705,1998,2016
68,10,7,-17.20583,146.07251000000002,-17.2255,-17.1517,146.0101,146.092,1998,2002
129,10,2,-16.225820000000002,146.00261999999998,-16.2419,-16.2218,145.9663,146.0117,2004,2008
65,9,9,-18.00883333333333,146.1698888888889,-18.0514,-17.9559,146.1349,146.208,1998,1998
83,9,9,-21.121022222222223,152.48535555555554,-21.2295,-20.9855,152.3947,152.5227,2002,2002
101,9,9,-11.482866666666666,143.01597777777778,-11.5963,-11.3855,142.9375,143.0718,1998,1998
102,9,9,-11.191144444444443,142.98754444444447,-11.2578,-11.0722,142.8179,143.097,1998,2002
50,9,8,-17.776622222222223,146.45274444444445,-17.8491,-17.7232,146.3947,146.5182,1998,2002
104,9,7,-14.704066666666668,145.44645555555556,-14.79,-14.65,145.35,145.52,2002,2006
13,8,8,-20.3759,150.17145,-20.471,-20.2973,150.0691,150.2902,2002,2002
58,8,8,-21.455212500000002,149.8660375,-21.5,-21.3667,149.8167,149.9117,1998,1998
11,8,7,-17.239175,146.347025,-17.2957,-17.1841,146.2909,146.3679,1998,2002
18,7,7,-23.992842857142858,151.69751428571428,-24.0071,-23.97,151.6,151.775,1998,2002
24,7,7,-20.758585714285715,150.43914285714285,-20.8572,-20.6508,150.3798,150.4849,2002,2002
25,7,7,-19.7155,147.77402857142857,-19.7285,-19.7,147.75,147.8333,1998,2002
44,7,7,-14.4546,144.90607142857144,-14.5395,-14.3603,144.758,144.9903,2002,2002
32,7,6,-18.847085714285715,147.91052857142856,-18.9038,-18.7301,147.8435,147.9579,1998,2002
66,7,6,-17.721071428571427,146.1557,-17.7747,-17.67,146.1221,146.175,1998,2002
122,7,5,-20.751085714285715,149.4548,-20.7812,-20.7377,149.3931,149.4836,1998,2016
20,6,6,-23.40811666666667,151.1666,-23.4167,-23.4,151.15,151.1833,1998,2002
30,6,6,-19.11165,148.33365,-19.1766,-19.0214,148.2864,148.3844,1998,2002
34,6,6,-17.6551,146.49198333333334,-17.7015,-17.6114,146.4517,146.572,1998,2002
67,6,6,-17.467283333333334,146.39239999999998,-17.5303,-17.375,146.3776,146.4167,1998,2002
120,6,6,-11.997333333333332,143.27243333333334,-12.0975,-11.9517,143.2637,143.3003,1998,2002
31,6,5,-18.9913,148.06411666666665,-19.0226,-18.9513,148.0,148.112,1998,2007
93,6,5,-14.881749999999998,145.50226666666666,-14.9383,-14.8547,145.479,145.5576,2002,2002
45,5,5,-14.1632,144.26332,-14.1946,-14.1012,144.2181,144.3202,1998,2002
56,5,5,-21.95394,150.1631,-21.9917,-21.9167,150.1022,150.225,1998,1998
82,5,5,-21.392500000000002,152.50706,-21.4638,-21.3573,152.4811,152.5207,2002,2002
87,5,5,-19.68672,149.93728000000002,-19.7392,-19.6164,149.8498,149.9776,2002,2002
99,5,5,-11.782,142.95316,-11.8446,-11.7332,142.9352,142.9853,1998,1998
106,5,5,-18.26362,147.38202,-18.2742,-18.2567,147.38,147.3862,1998,1998
52,5,4,-15.714920000000001,145.45646,-15.7433,-15.6924,145.3943,145.4977,1998,1998
17,4,4,-19.86675,147.922625,-19.8833,-19.8536,147.8947,147.9667,1998,2002
35,4,4,-17.34235,146.52235,-17.4307,-17.2747,146.4655,146.5451,2002,2002
48,4,4,-13.922125,143.786675,-13.9611,-13.868,143.7141,143.8394,2002,2002
57,4,4,-21.6832,150.28385,-21.7341,-21.65,150.2167,150.3167,1998,1998
89,4,4,-19.3041,148.63150000000002,-19.3605,-19.2562,148.6277,148.636,1998,2002
111,4,4,-20.08315,149.937175,-20.1312,-20.0341,149.9282,149.9497,2002,2002
114,4,4,-18.53455,147.49355,-18.5659,-18.4999,147.4445,147.5404,1998,2002
119,4,4,-12.767325,143.422825,-12.7831,-12.7524,143.3952,143.487,1998,2002
124,4,4,-12.470825,143.489575,-12.5333,-12.4167,143.425,143.5333,1998,1998
132,4,1,-17.0,149.1,-17.0,-17.0,149.1,149.1,1997,1997
2,3,3,-10.219666666666667,150.84866666666667,-10.23,-10.202,150.795,150.887,1996,1996
7,3,3,-18.227266666666665,146.74213333333333,-18.2333,-18.22,146.7297,146.7667,1998,2002
10,3,3,-17.88586666666667,146.59,-17.8872,-17.8847,146.5876,146.5938,1998,2002
19,3,3,-23.520433333333333,151.2612,-23.5356,-23.4917,151.2333,151.2757,1998,2002
28,3,3,-19.311233333333334,148.34396666666666,-19.3687,-19.2817,148.3363,148.3483,1998,2002
54,3,3,-22.02406666666667,150.66616666666667,-22.0833,-21.9583,150.6485,150.6833,1998,1998
55,3,3,-22.018533333333334,150.34753333333333,-22.0333,-22.0056,150.3,150.3759,1998,1998
59,3,3,-18.062533333333334,146.56086666666667,-18.0833,-18.0514,146.5574,146.5667,1998,2002
60,3,3,-23.95866666666667,151.47776666666667,-23.9742,-23.9401,151.4678,151.4833,1998,2002
61,3,3,-23.767966666666666,151.33593333333334,-23.8,-23.7497,151.3068,151.3667,1998,2002
62,3,3,-23.5347,151.73086666666666,-23.5635,-23.5039,151.683,151.773,1998,1998
63,3,3,-19.2064,147.0493,-19.2583,-19.18,147.0167,147.0667,1998,1998
69,3,3,-16.54563333333333,145.52946666666665,-16.5588,-16.5306,145.4975,145.5503,1998,1998
71,3,3,-15.9993,145.43269999999998,-16.0625,-15.937,145.3952,145.4653,1998,1998
86,3,3,-20.928566666666665,150.04893333333334,-20.9608,-20.9117,150.0325,150.0807,1998,2002
88,3,3,-19.501033333333332,148.7524,-19.5021,-19.5005,148.736,148.7841,1998,2002
95,3,3,-19.449833333333334,148.86703333333332,-19.4922,-19.4195,148.8477,148.9003,1998,2002
96,3,3,-16.409633333333332,145.74433333333332,-16.4152,-16.4,145.7,145.767,1998,2002
112,3,3,-19.617900000000002,149.67663333333334,-19.6313,-19.6106,149.6345,149.7257,2002,2002
22,3,2,-21.991533333333336,152.46993333333333,-22.0146,-21.98,152.4498,152.48,2002,2006
33,3,2,-18.1497,146.28976666666668,-18.1502,-18.1487,146.2894,146.2905,1998,2002
51,3,2,-16.284166666666668,145.4936,-16.3029,-16.2467,145.485,145.4979,1998,1998
75,3,2,-18.4208,147.34986666666666,-18.4224,-18.42,147.3496,147.35,1998,2002
92,3,2,-17.5251,146.52453333333335,-17.5256,-17.5241,146.5242,146.5252,1998,2002
21,2,2,-23.326,150.92995000000002,-23.349,-23.303,150.9222,150.9377,2002,2002
26,2,2,-19.34095,148.08350000000002,-19.3839,-19.298,148.0791,148.0879,2002,2002
27,2,2,-19.32325,148.43329999999997,-19.324,-19.3225,148.4328,148.4338,1998,2002
29,2,2,-19.2076,148.8596,-19.2152,-19.2,148.8167,148.9025,1998,2002
40,2,2,-15.77885,145.58085,-15.7796,-15.7781,145.5803,145.5814,1998,2002
42,2,2,-14.85125,145.27235000000002,-14.852,-14.8505,145.2718,145.2729,1998,2002
46,2,2,-14.134350000000001,144.5049,-14.1484,-14.1203,144.4852,144.5246,2002,2002
47,2,2,-14.07125,143.88330000000002,-14.078,-14.0645,143.8554,143.9112,2002,2002
53,2,2,-22.2081,150.33665000000002,-22.2329,-22.1833,150.315,150.3583,1998,1998
73,2,2,-11.8956,143.10680000000002,-11.8963,-11.8949,143.1063,143.1073,1998,2002
74,2,2,-10.14675,151.16305,-10.1768,-10.1167,151.1333,151.1928,1998,1998
81,2,2,-18.524250000000002,147.1444,-18.5253,-18.5232,147.1444,147.1444,1998,2002
85,2,2,-20.967950000000002,149.75765,-20.9838,-20.9521,149.7394,149.7759,2002,2002
90,2,2,-19.20995,148.542,-19.2107,-19.2092,148.5415,148.5425,1998,2002
97,2,2,-12.67815,143.5829,-12.7139,-12.6424,143.5601,143.6057,1998,1998
98,2,2,-12.2257,143.2841,-12.2347,-12.2167,143.2833,143.2849,1998,1998
100,2,2,-11.769400000000001,143.09244999999999,-11.7721,-11.7667,143.0849,143.1,1998,1998
109,2,2,-21.136049999999997,150.77614999999997,-21.1363,-21.1358,150.7633,150.789,2002,2002
110,2,2,-20.66895,150.2588,-20.6804,-20.6575,150.2294,150.2882,2002,2002
115,2,2,-18.136200000000002,146.97160000000002,-18.137,-18.1354,146.9711,146.9721,1998,2002
118,2,2,-15.02785,145.56805000000003,-15.0505,-15.0052,145.5672,145.5689,2002,2002
121,2,2,-11.0088,142.98685,-11.0095,-11.0081,142.9863,142.9874,1998,2002
123,2,2,-18.65635,147.71595,-18.6606,-18.6521,147.7102,147.7217,1998,1998
125,2,2,-12.30835,143.37484999999998,-12.3167,-12.3,143.333,143.4167,1998,1998
126,2,2,-10.69155,142.73485,-10.7049,-10.6782,142.7325,142.7372,1998,1998
4,2,1,-18.75,146.25,-18.75,-18.75,146.25,146.25,1998,1998
49,2,1,-23.6966,152.1829,-23.6966,-23.6966,152.1829,152.1829,1998,1998
79,2,1,-22.0,152.67,-22.0,-22.0,152.67,152.67,2006,2006
105,2,1,-23.32,151.98,-23.32,-23.32,151.98,151.98,2006,2006
107,2,1,-14.0,146.0,-14.0,-14.0,146.0,146.0,2007,2007
108,2,1,-21.87,152.19,-21.87,-21.87,152.19,152.19,2006,2006
131,2,1,-16.0,145.9667,-16.0,-16.0,145.9667,145.9667,2016,2016
