cluster_id,n_records,n_unique_coords,lat_centroid,lon_centroid,lat_min,lat_max,lon_min,lon_max,year_min,year_max
39,243,52,-16.124179423868313,145.83455802469135,-16.3248,-15.7921,145.5741,145.8881,1997,2017
0,209,40,-19.166712918660288,146.8486263157895,-19.2167,-19.1142,146.758,146.8824,1998,2017
3,187,28,-23.443886631016042,151.9213385026738,-23.5004,-23.4334,151.8803,152.09,1997,2017
1,149,53,-18.646925503355707,146.54512953020136,-18.8445,-18.5463,146.43,146.6929,1997,2013
38,108,29,-16.523469444444444,145.99037037037036,-16.769,-16.4208,145.939,146.0509,1998,2017
12,103,66,-20.23743495145631,148.9795058252427,-20.8159,-20.039,148.8748,149.2819,1992,2016
36,88,27,-16.871352272727272,146.2115727272727,-17.0748,-16.691,146.1794,146.2726,1997,2017
6,69,23,-19.76047536231884,149.15017391304346,-19.818,-19.68,149.0,149.2332,1998,2017
5,60,46,-23.146168333333332,150.9572816666667,-23.22,-23.0,150.876,151.1019,1997,2011
70,47,9,-16.37956170212766,145.56004468085106,-16.39,-16.3769,145.5578,145.57,1997,2017
128,41,6,-13.84450487804878,146.55129024390243,-13.8883,-13.8007,146.5235,146.5572,1997,2008
117,38,7,-14.925742105263156,145.68793421052632,-15.075,-14.9156,145.6754,145.7221,1998,2008
113,34,8,-18.791526470588234,147.52235588235294,-18.7984,-18.7249,147.52,147.5403,1998,2017
76,28,12,-19.545289285714286,149.2621642857143,-19.5717,-19.4657,149.048,149.3981,1998,2011
15,23,22,-20.090439130434785,148.5869,-20.2,-19.9956,148.466,148.7145,1998,2002
14,23,10,-20.25195652173913,148.81541304347826,-20.2613,-20.2179,148.8087,148.8417,1998,2017
130,20,5,-15.513990000000002,145.77755,-15.5278,-15.5114,145.7769,145.7788,2002,2008
103,19,9,-14.610957894736842,145.62404736842106,-14.6644,-14.4448,145.4104,145.6907,1998,2003
91,18,8,-18.82148888888889,147.65488888888888,-18.9103,-18.7747,147.6273,147.745,1998,2008
116,18,6,-15.359505555555554,145.77909444444444,-15.3984,-15.2589,145.7632,145.8244,1999,2008
43,16,16,-14.72874375,145.10814375,-14.8162,-14.6143,144.9353,145.2039,1998,2002
77,15,9,-18.665953333333334,147.07942,-18.6973,-18.6236,147.025,147.1092,1997,2017
78,15,8,-18.44104666666667,146.99043333333336,-18.4667,-18.43,146.9833,146.9933,1997,2008
127,15,1,-18.9561,146.9562,-18.9561,-18.9561,146.9562,146.9562,2004,2016
94,14,6,-24.112192857142855,152.71562857142857,-24.114,-24.1094,152.7106,152.7197,1998,2013
