week,date,n_none,n_moderate,n_severe,pct_none,pct_moderate,pct_severe,mean_risk_score,max_risk_score
1,2025-04-20,0,111,22,0.0,83.5,16.5,0.8746,0.9986
2,2025-04-27,0,82,51,0.0,61.7,38.3,0.982,1.0
3,2025-05-04,0,21,112,0.0,15.8,84.2,0.9909,1.0
4,2025-05-11,0,100,33,0.0,75.2,24.8,0.9654,0.9997
5,2025-05-18,0,113,20,0.0,85.0,15.0,0.9587,0.9993
6,2025-05-25,0,75,58,0.0,56.4,43.6,0.97,1.0
7,2025-06-01,0,47,86,0.0,35.3,64.7,0.9663,1.0
8,2025-06-08,0,85,48,0.0,63.9,36.1,0.9447,0.9996
9,2025-06-15,3,120,10,2.3,90.2,7.5,0.8896,0.9954
10,2025-06-22,5,112,16,3.8,84.2,12.0,0.8605,0.9981
11,2025-06-29,9,101,23,6.8,75.9,17.3,0.8523,0.9996
12,2025-07-06,20,103,10,15.0,77.4,7.5,0.7523,0.9999
13,2025-07-13,25,64,44,18.8,48.1,33.1,0.7178,0.9999
14,2025-07-20,33,37,63,24.8,27.8,47.4,0.7235,0.9997
15,2025-07-27,53,31,49,39.8,23.3,36.8,0.6676,0.9983
16,2025-08-03,85,19,29,63.9,14.3,21.8,0.6098,0.9989
17,2025-08-10,68,27,38,51.1,20.3,28.6,0.6402,0.9961
18,2025-08-17,93,7,33,69.9,5.3,24.8,0.5931,0.9907
19,2025-08-24,125,2,6,94.0,1.5,4.5,0.4873,0.9807
20,2025-08-31,120,3,10,90.2,2.3,7.5,0.491,0.9692
21,2025-09-07,101,9,23,75.9,6.8,17.3,0.5377,0.982
22,2025-09-14,88,13,32,66.2,9.8,24.1,0.5806,0.993
23,2025-09-21,98,8,27,73.7,6.0,20.3,0.5771,0.9967
24,2025-09-28,118,3,12,88.7,2.3,9.0,0.5334,0.992
25,2025-10-05,128,2,3,96.2,1.5,2.3,0.4805,0.9874
26,2025-10-12,128,2,3,96.2,1.5,2.3,0.4537,0.9542
27,2025-10-19,127,4,2,95.5,3.0,1.5,0.4589,0.7534
28,2025-10-26,108,11,14,81.2,8.3,10.5,0.5356,0.806
29,2025-11-02,44,5,84,33.1,3.8,63.2,0.7115,0.93
30,2025-11-09,9,1,123,6.8,0.8,92.5,0.8253,0.9627
31,2025-11-16,14,0,119,10.5,0.0,89.5,0.8057,0.9372
32,2025-11-23,27,1,105,20.3,0.8,78.9,0.7432,0.9397
33,2025-11-30,30,0,103,22.6,0.0,77.4,0.7619,0.9772
34,2025-12-07,52,1,80,39.1,0.8,60.2,0.6971,0.9838
35,2025-12-14,98,6,29,73.7,4.5,21.8,0.6048,0.9577
36,2025-12-21,108,4,21,81.2,3.0,15.8,0.5586,0.9263
37,2025-12-28,74,0,59,55.6,0.0,44.4,0.6362,0.9545
38,2026-01-04,88,0,45,66.2,0.0,33.8,0.6017,0.9396
39,2026-01-11,123,5,5,92.5,3.8,3.8,0.4905,0.875
40,2026-01-18,119,5,9,89.5,3.8,6.8,0.4972,0.8083
41,2026-01-25,67,8,58,50.4,6.0,43.6,0.6123,0.9946
42,2026-02-01,43,19,71,32.3,14.3,53.4,0.6935,0.9962
43,2026-02-08,14,17,102,10.5,12.8,76.7,0.8002,0.9869
44,2026-02-15,1,5,127,0.8,3.8,95.5,0.9105,0.9964
45,2026-02-22,0,17,116,0.0,12.8,87.2,0.9133,0.9933
46,2026-03-01,0,17,116,0.0,12.8,87.2,0.932,0.9997
47,2026-03-08,1,14,118,0.8,10.5,88.7,0.9425,0.999
48,2026-03-15,1,8,124,0.8,6.0,93.2,0.9493,0.9956
49,2026-03-22,20,9,104,15.0,6.8,78.2,0.8088,0.9782
50,2026-03-29,28,8,97,21.1,6.0,72.9,0.8129,0.998
51,2026-04-05,5,10,118,3.8,7.5,88.7,0.8995,0.9987
52,2026-04-12,3,14,116,2.3,10.5,87.2,0.8866,0.9904
