cluster_id,centroid_lat,centroid_lon,predicted_label,predicted_class,TSA_DHW_max,n_historical_records
0,-19.166714,146.84863,Healthy (0-5%),0,1.4357142,209
84,-21.106472,152.2254,Healthy (0-5%),0,0.34,11
98,-12.2257,143.2841,Healthy (0-5%),0,1.34,2
97,-12.67815,143.5829,Healthy (0-5%),0,2.92,2
96,-16.409634,145.74434,Healthy (0-5%),0,5.17,3
95,-19.449833,148.86703,Healthy (0-5%),0,0.15,3
94,-24.112192,152.71562,Healthy (0-5%),0,0.14,14
93,-14.88175,145.50227,Healthy (0-5%),0,4.39,6
92,-17.5251,146.52454,Healthy (0-5%),0,2.56,3
91,-18.82149,147.65489,Healthy (0-5%),0,0.0,18
90,-19.20995,148.542,Healthy (0-5%),0,0.31,2
89,-19.3041,148.6315,Healthy (0-5%),0,0.3,4
88,-19.501034,148.7524,Healthy (0-5%),0,0.0,3
87,-19.68672,149.93729,Healthy (0-5%),0,0.74,5
86,-20.928566,150.04893,Healthy (0-5%),0,0.15,3
85,-20.96795,149.75764,Healthy (0-5%),0,0.0,2
83,-21.121021,152.48535,Healthy (0-5%),0,0.33,9
67,-17.467283,146.3924,Healthy (0-5%),0,2.99,6
82,-21.3925,152.50706,Healthy (0-5%),0,0.0,5
81,-18.52425,147.1444,Healthy (0-5%),0,0.77,2
80,-18.402128,146.79951,Healthy (0-5%),0,1.54,11
79,-22.0,152.67,Healthy (0-5%),0,0.0,2
78,-18.441046,146.99043,Healthy (0-5%),0,2.07,15
77,-18.665953,147.07942,Healthy (0-5%),0,0.76,15
76,-19.54529,149.26216,Healthy (0-5%),0,0.0,28
75,-18.4208,147.34987,Healthy (0-5%),0,1.5,3
74,-10.14675,151.16306,Healthy (0-5%),0,0.0,2
73,-11.8956,143.1068,Healthy (0-5%),0,0.98,2
72,-15.156473,145.46036,Healthy (0-5%),0,3.04,11
71,-15.9993,145.4327,Healthy (0-5%),0,3.5,3
70,-16.379562,145.56004,Healthy (0-5%),0,5.1,47
69,-16.545633,145.52946,Healthy (0-5%),0,5.09,3
99,-11.782,142.95316,Healthy (0-5%),0,1.32,5
100,-11.7694,143.09245,Healthy (0-5%),0,1.01,2
101,-11.482866,143.01598,Healthy (0-5%),0,1.59,9
102,-11.191144,142.98755,Healthy (0-5%),0,2.392857,9
131,-16.0,145.9667,Healthy (0-5%),0,5.39,2
130,-15.51399,145.77756,Healthy (0-5%),0,4.42,20
129,-16.22582,146.00262,Healthy (0-5%),0,4.42,10
