week,date,n_none,n_moderate,n_severe,pct_none,pct_moderate,pct_severe,mean_risk_score,max_risk_score
1,2025-04-20,0,95,38,0.0,71.4,28.6,0.9568,0.9999
2,2025-04-27,0,128,5,0.0,96.2,3.8,0.9437,0.9998
3,2025-05-04,0,133,0,0.0,100.0,0.0,0.872,0.9993
4,2025-05-11,8,121,4,6.0,91.0,3.0,0.7489,0.9997
5,2025-05-18,2,127,4,1.5,95.5,3.0,0.8622,0.9994
6,2025-05-25,6,126,1,4.5,94.7,0.8,0.786,0.9995
7,2025-06-01,19,114,0,14.3,85.7,0.0,0.6567,0.9987
8,2025-06-08,16,116,1,12.0,87.2,0.8,0.6782,0.9992
9,2025-06-15,54,79,0,40.6,59.4,0.0,0.5576,0.9979
10,2025-06-22,42,91,0,31.6,68.4,0.0,0.5692,0.9984
11,2025-06-29,26,107,0,19.5,80.5,0.0,0.6247,0.998
12,2025-07-06,22,111,0,16.5,83.5,0.0,0.637,0.9907
13,2025-07-13,49,84,0,36.8,63.2,0.0,0.5488,0.9404
14,2025-07-20,26,107,0,19.5,80.5,0.0,0.6086,0.9665
15,2025-07-27,13,120,0,9.8,90.2,0.0,0.6788,0.9506
16,2025-08-03,12,121,0,9.0,91.0,0.0,0.6935,0.9448
17,2025-08-10,25,108,0,18.8,81.2,0.0,0.6268,0.9118
18,2025-08-17,19,114,0,14.3,85.7,0.0,0.626,0.909
19,2025-08-24,44,89,0,33.1,66.9,0.0,0.589,0.9455
20,2025-08-31,33,100,0,24.8,75.2,0.0,0.6331,0.918
21,2025-09-07,38,95,0,28.6,71.4,0.0,0.63,0.9546
22,2025-09-14,38,95,0,28.6,71.4,0.0,0.6313,0.9621
23,2025-09-21,41,92,0,30.8,69.2,0.0,0.5837,0.9344
24,2025-09-28,50,83,0,37.6,62.4,0.0,0.5573,0.9101
25,2025-10-05,47,86,0,35.3,64.7,0.0,0.5584,0.969
26,2025-10-12,52,81,0,39.1,60.9,0.0,0.5395,0.9744
27,2025-10-19,37,96,0,27.8,72.2,0.0,0.5924,0.9355
28,2025-10-26,22,111,0,16.5,83.5,0.0,0.6193,0.9301
29,2025-11-02,72,61,0,54.1,45.9,0.0,0.5193,0.9493
30,2025-11-09,69,64,0,51.9,48.1,0.0,0.5352,0.9702
31,2025-11-16,82,51,0,61.7,38.3,0.0,0.5,0.9891
32,2025-11-23,104,27,2,78.2,20.3,1.5,0.415,0.9857
33,2025-11-30,96,36,1,72.2,27.1,0.8,0.4574,0.9563
34,2025-12-07,78,45,10,58.6,33.8,7.5,0.5331,0.964
35,2025-12-14,68,61,4,51.1,45.9,3.0,0.5145,0.979
36,2025-12-21,84,46,3,63.2,34.6,2.3,0.492,0.99
37,2025-12-28,84,40,9,63.2,30.1,6.8,0.5344,0.9899
38,2026-01-04,33,27,73,24.8,20.3,54.9,0.748,0.9998
39,2026-01-11,2,76,55,1.5,57.1,41.4,0.8553,0.9992
40,2026-01-18,40,39,54,30.1,29.3,40.6,0.7394,0.9995
41,2026-01-25,8,90,35,6.0,67.7,26.3,0.8247,0.9993
42,2026-02-01,0,87,46,0.0,65.4,34.6,0.9302,0.9985
43,2026-02-08,0,100,33,0.0,75.2,24.8,0.9186,0.9994
44,2026-02-15,0,90,43,0.0,67.7,32.3,0.9601,0.9994
45,2026-02-22,0,96,37,0.0,72.2,27.8,0.9674,0.9988
46,2026-03-01,0,94,39,0.0,70.7,29.3,0.9678,0.9993
47,2026-03-08,0,75,58,0.0,56.4,43.6,0.9708,0.9997
48,2026-03-15,0,97,36,0.0,72.9,27.1,0.9609,0.9993
49,2026-03-22,0,105,28,0.0,78.9,21.1,0.9619,0.9992
50,2026-03-29,0,119,14,0.0,89.5,10.5,0.955,0.9991
51,2026-04-05,0,126,7,0.0,94.7,5.3,0.9608,0.9979
52,2026-04-12,0,127,6,0.0,95.5,4.5,0.931,0.9991
