feature,gain
TSA_mean,8.093864440917969
year,6.819389343261719
longitude,4.422035217285156
TSA_DHW_trend,3.9795377254486084
TSA_Frequency_trend,3.96616530418396
TSA_Frequency_slope,3.5752217769622803
latitude,3.504917621612549
month,3.394636869430542
TSA_DHW_last,2.8927085399627686
TSA_std,2.772549629211426
FilledSST_mean,2.6352193355560303
FilledSST_max,2.5251708030700684
TSA_max,2.503401517868042
TSA_slope,2.450193166732788
TSA_DHW_max,2.3272790908813477
FilledSST_slope,2.3185882568359375
FilledSST_min,2.279433012008667
FilledSST_first,2.228755474090576
FilledSST_last,2.2206828594207764
TSA_Frequency_min,2.1938109397888184
TSA_DHW_slope,2.1334643363952637
TSA_trend,2.0735833644866943
FilledSST_trend,2.0695300102233887
TSA_Frequency_first,2.0649430751800537
TSA_Frequency_mean,2.04150390625
TSA_Frequency_std,2.0340099334716797
TSA_Frequency_last,2.0163376331329346
FilledSST_std,1.9997129440307617
TSA_DHW_first,1.9526875019073486
TSA_DHW_std,1.940692663192749
TSA_last,1.9380297660827637
TSA_DHW_mean,1.9320896863937378
TSA_Frequency_max,1.834712028503418
TSA_DHW_min,1.7047938108444214
TSA_first,1.6203892230987549
TSA_min,1.1472253799438477
